'Elapsed time','ECG ECG'
1.078,-0.040
1.080,-0.045
1.082,-0.049
1.084,-0.053
1.086,-0.055
1.088,-0.056
1.090,-0.056
1.092,-0.054
1.094,-0.053
1.096,-0.052
1.098,-0.054
1.100,-0.057
1.102,-0.063
1.104,-0.068
1.106,-0.073
1.108,-0.074
1.110,-0.074
1.112,-0.071
1.114,-0.068
1.116,-0.065
1.118,-0.064
1.120,-0.063
1.122,-0.063
1.124,-0.063
1.126,-0.061
1.128,-0.059
1.130,-0.056
1.132,-0.054
1.134,-0.054
1.136,-0.056
1.138,-0.059
1.140,-0.062
1.142,-0.063
1.144,-0.063
1.146,-0.061
1.148,-0.058
1.150,-0.056
1.152,-0.055
1.154,-0.056
1.156,-0.057
1.158,-0.058
1.160,-0.059
1.162,-0.058
1.164,-0.057
1.166,-0.055
1.168,-0.054
1.170,-0.052
1.172,-0.051
1.174,-0.050
1.176,-0.049
1.178,-0.047
1.180,-0.047
1.182,-0.046
1.184,-0.045
1.186,-0.045
1.188,-0.044
1.190,-0.043
1.192,-0.043
1.194,-0.042
1.196,-0.042
1.198,-0.042
1.200,-0.042
1.202,-0.041
1.204,-0.040
1.206,-0.039
1.208,-0.039
1.210,-0.040
1.212,-0.043
1.214,-0.045
1.216,-0.046
1.218,-0.045
1.220,-0.044
1.222,-0.042
1.224,-0.042
1.226,-0.043
1.228,-0.047
1.230,-0.052
1.232,-0.056
1.234,-0.059
1.236,-0.059
1.238,-0.057
1.240,-0.052
1.242,-0.048
1.244,-0.046
1.246,-0.044
1.248,-0.044
1.250,-0.045
1.252,-0.044
1.254,-0.044
1.256,-0.043
1.258,-0.043
1.260,-0.046
1.262,-0.049
1.264,-0.053
1.266,-0.057
1.268,-0.058
1.270,-0.057
1.272,-0.055
1.274,-0.054
1.276,-0.054
1.278,-0.056
1.280,-0.059
1.282,-0.062
1.284,-0.062
1.286,-0.059
1.288,-0.054
1.290,-0.048
1.292,-0.043
1.294,-0.040
1.296,-0.039
1.298,-0.041
1.300,-0.044
1.302,-0.049
1.304,-0.053
1.306,-0.058
1.308,-0.062
1.310,-0.066
1.312,-0.068
1.314,-0.067
1.316,-0.064
1.318,-0.059
1.320,-0.052
1.322,-0.046
1.324,-0.042
1.326,-0.039
1.328,-0.037
1.330,-0.037
1.332,-0.038
1.334,-0.039
1.336,-0.041
1.338,-0.043
1.340,-0.045
1.342,-0.047
1.344,-0.049
1.346,-0.050
1.348,-0.048
1.350,-0.045
1.352,-0.040
1.354,-0.033
1.356,-0.026
1.358,-0.019
1.360,-0.013
1.362,-0.006
1.364,-0.001
1.366,0.003
1.368,0.005
1.370,0.004
1.372,0.002
1.374,-0.001
1.376,-0.002
1.378,0.001
1.380,0.007
1.382,0.017
1.384,0.029
1.386,0.042
1.388,0.053
1.390,0.061
1.392,0.066
1.394,0.066
1.396,0.063
1.398,0.056
1.400,0.045
1.402,0.033
1.404,0.020
1.406,0.007
1.408,-0.002
1.410,-0.010
1.412,-0.016
1.414,-0.022
1.416,-0.029
1.418,-0.037
1.420,-0.046
1.422,-0.055
1.424,-0.062
1.426,-0.066
1.428,-0.065
1.430,-0.062
1.432,-0.057
1.434,-0.053
1.436,-0.051
1.438,-0.051
1.440,-0.053
1.442,-0.054
1.444,-0.054
1.446,-0.051
1.448,-0.046
1.450,-0.041
1.452,-0.038
1.454,-0.038
1.456,-0.042
1.458,-0.048
1.460,-0.055
1.462,-0.061
1.464,-0.065
1.466,-0.066
1.468,-0.063
1.470,-0.056
1.472,-0.045
1.474,-0.028
1.476,-0.006
1.478,0.018
1.480,0.043
1.482,0.065
1.484,0.081
1.486,0.092
1.488,0.099
1.490,0.107
1.492,0.121
1.494,0.146
1.496,0.183
1.498,0.229
1.500,0.277
1.502,0.316
1.504,0.336
1.506,0.332
1.508,0.303
1.510,0.255
1.512,0.194
1.514,0.129
1.516,0.066
1.518,0.009
1.520,-0.037
1.522,-0.072
1.524,-0.093
1.526,-0.100
1.528,-0.094
1.530,-0.080
1.532,-0.063
1.534,-0.048
1.536,-0.039
1.538,-0.035
1.540,-0.037
1.542,-0.040
1.544,-0.043
1.546,-0.045
1.548,-0.046
1.550,-0.045
1.552,-0.045
1.554,-0.046
1.556,-0.047
1.558,-0.048
1.560,-0.049
1.562,-0.048
1.564,-0.044
1.566,-0.040
1.568,-0.034
1.570,-0.030
1.572,-0.026
1.574,-0.023
1.576,-0.022
1.578,-0.022
1.580,-0.024
1.582,-0.025
1.584,-0.027
1.586,-0.028
1.588,-0.029
1.590,-0.028
1.592,-0.027
1.594,-0.026
1.596,-0.026
1.598,-0.027
1.600,-0.029
1.602,-0.029
1.604,-0.026
1.606,-0.021
1.608,-0.014
1.610,-0.008
1.612,-0.004
1.614,-0.002
1.616,-0.003
1.618,-0.006
1.620,-0.008
1.622,-0.009
1.624,-0.009
1.626,-0.009
1.628,-0.008
1.630,-0.008
1.632,-0.008
1.634,-0.007
1.636,-0.004
1.638,-0.000
1.640,0.004
1.642,0.007
1.644,0.009
1.646,0.010
1.648,0.009
1.650,0.009
1.652,0.008
1.654,0.009
1.656,0.009
1.658,0.009
1.660,0.009
1.662,0.009
1.664,0.010
1.666,0.012
1.668,0.016
1.670,0.021
1.672,0.028
1.674,0.034
1.676,0.040
1.678,0.043
1.680,0.043
1.682,0.041
1.684,0.038
1.686,0.036
1.688,0.038
1.690,0.043
1.692,0.052
1.694,0.061
1.696,0.069
1.698,0.075
1.700,0.079
1.702,0.082
1.704,0.086
1.706,0.093
1.708,0.102
1.710,0.113
1.712,0.125
1.714,0.135
1.716,0.144
1.718,0.149
1.720,0.151
1.722,0.152
1.724,0.153
1.726,0.154
1.728,0.155
1.730,0.157
1.732,0.160
1.734,0.164
1.736,0.169
1.738,0.175
1.740,0.183
1.742,0.190
1.744,0.196
1.746,0.198
1.748,0.197
1.750,0.192
1.752,0.185
1.754,0.178
1.756,0.173
1.758,0.169
1.760,0.165
1.762,0.160
1.764,0.152
1.766,0.140
1.768,0.124
1.770,0.106
1.772,0.087
1.774,0.071
1.776,0.058
1.778,0.049
1.780,0.043
1.782,0.039
1.784,0.035
1.786,0.031
1.788,0.025
1.790,0.017
1.792,0.008
1.794,-0.003
1.796,-0.013
1.798,-0.022
1.800,-0.029
1.802,-0.034
1.804,-0.038
1.806,-0.041
1.808,-0.044
1.810,-0.048
1.812,-0.051
1.814,-0.054
1.816,-0.056
1.818,-0.057
1.820,-0.059
1.822,-0.060
1.824,-0.062
1.826,-0.063
1.828,-0.063
1.830,-0.062
1.832,-0.061
1.834,-0.061
1.836,-0.061
1.838,-0.063
1.840,-0.066
1.842,-0.067
1.844,-0.066
1.846,-0.063
1.848,-0.058
1.850,-0.053
1.852,-0.049
1.854,-0.047
1.856,-0.047
1.858,-0.049
1.860,-0.051
1.862,-0.052
1.864,-0.051
1.866,-0.051
1.868,-0.050
1.870,-0.050
1.872,-0.051
1.874,-0.053
1.876,-0.054
1.878,-0.054
1.880,-0.054
1.882,-0.054
1.884,-0.054
1.886,-0.055
1.888,-0.055
1.890,-0.055
1.892,-0.054
1.894,-0.052
1.896,-0.049
1.898,-0.047
1.900,-0.045
1.902,-0.045
1.904,-0.045
1.906,-0.047
1.908,-0.048
1.910,-0.048
1.912,-0.046
1.914,-0.043
1.916,-0.039
1.918,-0.035
1.920,-0.034
1.922,-0.035
1.924,-0.039
1.926,-0.043
1.928,-0.047
1.930,-0.048
1.932,-0.048
1.934,-0.046
1.936,-0.045
1.938,-0.046
1.940,-0.048
1.942,-0.051
1.944,-0.053
1.946,-0.052
1.948,-0.048
1.950,-0.041
1.952,-0.034
1.954,-0.029
1.956,-0.026
1.958,-0.026
1.960,-0.028
1.962,-0.032
1.964,-0.036
1.966,-0.040
1.968,-0.043
1.970,-0.047
1.972,-0.052
1.974,-0.057
1.976,-0.061
1.978,-0.063
1.980,-0.062
1.982,-0.058
1.984,-0.052
1.986,-0.045
1.988,-0.039
1.990,-0.037
1.992,-0.039
1.994,-0.044
1.996,-0.051
1.998,-0.058
2.000,-0.063
2.002,-0.065
2.004,-0.066
2.006,-0.064
2.008,-0.061
2.010,-0.057
2.012,-0.053
2.014,-0.050
2.016,-0.048
2.018,-0.048
2.020,-0.049
2.022,-0.051
2.024,-0.054
2.026,-0.056
2.028,-0.059
2.030,-0.060
2.032,-0.059
2.034,-0.057
2.036,-0.053
2.038,-0.047
2.040,-0.042
2.042,-0.039
2.044,-0.040
2.046,-0.045
2.048,-0.052
2.050,-0.061
2.052,-0.067
2.054,-0.071
2.056,-0.070
2.058,-0.066
2.060,-0.059
2.062,-0.050
2.064,-0.041
2.066,-0.034
2.068,-0.027
2.070,-0.023
2.072,-0.019
2.074,-0.017
2.076,-0.015
2.078,-0.013
2.080,-0.011
2.082,-0.009
2.084,-0.008
2.086,-0.009
2.088,-0.012
2.090,-0.016
2.092,-0.018
2.094,-0.018
2.096,-0.012
2.098,-0.001
2.100,0.013
2.102,0.029
2.104,0.043
2.106,0.052
2.108,0.056
2.110,0.054
2.112,0.046
2.114,0.035
2.116,0.020
2.118,0.003
2.120,-0.014
2.122,-0.029
2.124,-0.040
2.126,-0.047
2.128,-0.048
2.130,-0.045
2.132,-0.041
2.134,-0.037
2.136,-0.036
2.138,-0.039
2.140,-0.045
2.142,-0.051
2.144,-0.058
2.146,-0.063
2.148,-0.066
2.150,-0.068
2.152,-0.069
2.154,-0.071
2.156,-0.072
2.158,-0.072
2.160,-0.071
2.162,-0.069
2.164,-0.066
2.166,-0.063
2.168,-0.061
2.170,-0.061
2.172,-0.063
2.174,-0.067
2.176,-0.072
2.178,-0.075
2.180,-0.076
2.182,-0.074
2.184,-0.068
2.186,-0.057
2.188,-0.041
2.190,-0.022
2.192,-0.000
2.194,0.023
2.196,0.045
2.198,0.064
2.200,0.079
2.202,0.091
2.204,0.102
2.206,0.118
2.208,0.143
2.210,0.179
2.212,0.221
2.214,0.265
2.216,0.301
2.218,0.320
2.220,0.318
2.222,0.296
2.224,0.255
2.226,0.201
2.228,0.140
2.230,0.076
2.232,0.014
2.234,-0.039
2.236,-0.079
2.238,-0.103
2.240,-0.108
2.242,-0.098
2.244,-0.080
2.246,-0.060
2.248,-0.046
2.250,-0.038
2.252,-0.038
2.254,-0.041
2.256,-0.045
2.258,-0.047
2.260,-0.048
2.262,-0.048
2.264,-0.048
2.266,-0.048
2.268,-0.048
2.270,-0.048
2.272,-0.047
2.274,-0.045
2.276,-0.043
2.278,-0.043
2.280,-0.044
2.282,-0.046
2.284,-0.049
2.286,-0.051
2.288,-0.052
2.290,-0.052
2.292,-0.051
2.294,-0.049
2.296,-0.046
2.298,-0.044
2.300,-0.042
2.302,-0.040
2.304,-0.038
2.306,-0.036
2.308,-0.034
2.310,-0.033
2.312,-0.032
2.314,-0.032
2.316,-0.033
2.318,-0.034
2.320,-0.034
2.322,-0.031
2.324,-0.026
2.326,-0.019
2.328,-0.012
2.330,-0.007
2.332,-0.004
2.334,-0.005
2.336,-0.007
2.338,-0.009
2.340,-0.011
2.342,-0.010
2.344,-0.008
2.346,-0.004
2.348,0.001
2.350,0.006
2.352,0.009
2.354,0.010
2.356,0.008
2.358,0.005
2.360,0.001
2.362,-0.002
2.364,-0.002
2.366,-0.001
2.368,0.002
2.370,0.006
2.372,0.010
2.374,0.015
2.376,0.019
2.378,0.023
2.380,0.025
2.382,0.027
2.384,0.028
2.386,0.028
2.388,0.029
2.390,0.030
2.392,0.033
2.394,0.037
2.396,0.042
2.398,0.047
2.400,0.051
2.402,0.054
2.404,0.056
2.406,0.058
2.408,0.060
2.410,0.062
2.412,0.066
2.414,0.072
2.416,0.079
2.418,0.087
2.420,0.096
2.422,0.104
2.424,0.112
2.426,0.119
2.428,0.124
2.430,0.130
2.432,0.135
2.434,0.140
2.436,0.145
2.438,0.150
2.440,0.153
2.442,0.156
2.444,0.158
2.446,0.159
2.448,0.160
2.450,0.161
2.452,0.163
2.454,0.166
2.456,0.169
2.458,0.172
2.460,0.175
2.462,0.176
2.464,0.177
2.466,0.176
2.468,0.173
2.470,0.168
2.472,0.161
2.474,0.153
2.476,0.144
2.478,0.133
2.480,0.122
2.482,0.110
2.484,0.098
2.486,0.085
2.488,0.073
2.490,0.062
2.492,0.051
2.494,0.042
2.496,0.033
2.498,0.027
2.500,0.023
2.502,0.022
2.504,0.023
2.506,0.022
2.508,0.018
2.510,0.009
2.512,-0.005
2.514,-0.020
2.516,-0.035
2.518,-0.047
2.520,-0.055
2.522,-0.059
2.524,-0.061
2.526,-0.062
2.528,-0.063
2.530,-0.064
2.532,-0.065
2.534,-0.064
2.536,-0.062
2.538,-0.061
2.540,-0.061
2.542,-0.063
2.544,-0.067
2.546,-0.070
2.548,-0.073
2.550,-0.073
2.552,-0.073
2.554,-0.072
2.556,-0.073
2.558,-0.075
2.560,-0.078
2.562,-0.081
2.564,-0.083
2.566,-0.083
2.568,-0.081
2.570,-0.077
2.572,-0.073
2.574,-0.069
2.576,-0.065
2.578,-0.062
2.580,-0.061
2.582,-0.060
2.584,-0.061
2.586,-0.062
2.588,-0.064
2.590,-0.066
2.592,-0.068
2.594,-0.069
2.596,-0.068
2.598,-0.067
2.600,-0.065
2.602,-0.063
2.604,-0.062
2.606,-0.061
2.608,-0.059
2.610,-0.058
2.612,-0.056
2.614,-0.053
2.616,-0.052
2.618,-0.051
2.620,-0.052
2.622,-0.052
2.624,-0.051
2.626,-0.048
2.628,-0.043
2.630,-0.038
2.632,-0.035
2.634,-0.033
2.636,-0.035
2.638,-0.038
2.640,-0.042
2.642,-0.046
2.644,-0.048
2.646,-0.049
2.648,-0.050
2.650,-0.051
2.652,-0.054
2.654,-0.056
2.656,-0.058
2.658,-0.058
2.660,-0.058
2.662,-0.057
2.664,-0.056
2.666,-0.056
2.668,-0.056
2.670,-0.055
2.672,-0.053
2.674,-0.049
2.676,-0.044
2.678,-0.041
2.680,-0.039
2.682,-0.041
2.684,-0.045
2.686,-0.050
2.688,-0.055
2.690,-0.058
2.692,-0.060
2.694,-0.063
2.696,-0.066
2.698,-0.069
2.700,-0.070
2.702,-0.069
2.704,-0.063
2.706,-0.055
2.708,-0.045
2.710,-0.036
2.712,-0.031
2.714,-0.030
2.716,-0.032
2.718,-0.036
2.720,-0.042
2.722,-0.047
2.724,-0.052
2.726,-0.055
2.728,-0.056
2.730,-0.055
2.732,-0.053
2.734,-0.049
2.736,-0.046
2.738,-0.042
2.740,-0.039
2.742,-0.036
2.744,-0.035
2.746,-0.035
2.748,-0.034
2.750,-0.033
2.752,-0.030
2.754,-0.023
2.756,-0.013
2.758,-0.002
2.760,0.009
2.762,0.015
2.764,0.016
2.766,0.010
2.768,-0.000
2.770,-0.012
2.772,-0.020
2.774,-0.023
2.776,-0.019
2.778,-0.008
2.780,0.008
2.782,0.024
2.784,0.038
2.786,0.047
2.788,0.049
2.790,0.045
2.792,0.036
2.794,0.025
2.796,0.013
2.798,0.002
2.800,-0.008
2.802,-0.017
2.804,-0.026
2.806,-0.035
2.808,-0.043
2.810,-0.050
2.812,-0.056
2.814,-0.060
2.816,-0.063
2.818,-0.064
2.820,-0.064
2.822,-0.063
2.824,-0.061
2.826,-0.057
2.828,-0.054
2.830,-0.051
2.832,-0.050
2.834,-0.050
2.836,-0.052
2.838,-0.054
2.840,-0.055
2.842,-0.055
2.844,-0.053
2.846,-0.051
2.848,-0.049
2.850,-0.049
2.852,-0.050
2.854,-0.053
2.856,-0.056
2.858,-0.058
2.860,-0.058
2.862,-0.054
2.864,-0.045
2.866,-0.031
2.868,-0.011
2.870,0.011
2.872,0.035
2.874,0.056
2.876,0.071
2.878,0.081
2.880,0.086
2.882,0.092
2.884,0.104
2.886,0.125
2.888,0.157
2.890,0.198
2.892,0.241
2.894,0.276
2.896,0.297
2.898,0.297
2.900,0.276
2.902,0.238
2.904,0.186
2.906,0.128
2.908,0.066
2.910,0.007
2.912,-0.045
2.914,-0.085
2.916,-0.111
2.918,-0.119
2.920,-0.113
2.922,-0.096
2.924,-0.074
2.926,-0.053
2.928,-0.037
2.930,-0.027
2.932,-0.023
2.934,-0.022
2.936,-0.024
2.938,-0.026
2.940,-0.029
2.942,-0.031
2.944,-0.033
2.946,-0.035
2.948,-0.036
2.950,-0.037
2.952,-0.037
2.954,-0.037
2.956,-0.036
2.958,-0.034
2.960,-0.032
2.962,-0.030
2.964,-0.027
2.966,-0.024
2.968,-0.021
2.970,-0.020
2.972,-0.020
2.974,-0.022
2.976,-0.024
2.978,-0.026
2.980,-0.025
2.982,-0.023
2.984,-0.019
2.986,-0.015
2.988,-0.013
2.990,-0.013
2.992,-0.015
2.994,-0.016
2.996,-0.016
2.998,-0.014
3.000,-0.010
3.002,-0.006
3.004,-0.003
3.006,-0.002
3.008,-0.003
3.010,-0.006
3.012,-0.009
3.014,-0.009
3.016,-0.007
3.018,-0.003
3.020,0.002
3.022,0.006
3.024,0.009
3.026,0.009
3.028,0.009
3.030,0.008
3.032,0.008
3.034,0.009
3.036,0.010
3.038,0.010
3.040,0.010
3.042,0.010
3.044,0.011
3.046,0.015
3.048,0.021
3.050,0.029
3.052,0.037
3.054,0.042
3.056,0.045
3.058,0.045
3.060,0.044
3.062,0.042
3.064,0.041
3.066,0.041
3.068,0.041
3.070,0.043
3.072,0.047
3.074,0.052
3.076,0.060
3.078,0.068
3.080,0.077
3.082,0.084
3.084,0.090
3.086,0.094
3.088,0.097
3.090,0.100
3.092,0.102
3.094,0.106
3.096,0.111
3.098,0.116
3.100,0.123
3.102,0.131
3.104,0.138
3.106,0.146
3.108,0.152
3.110,0.158
3.112,0.162
3.114,0.166
3.116,0.170
3.118,0.173
3.120,0.177
3.122,0.182
3.124,0.186
3.126,0.191
3.128,0.194
3.130,0.197
3.132,0.199
3.134,0.199
3.136,0.198
3.138,0.195
3.140,0.192
3.142,0.189
3.144,0.187
3.146,0.186
3.148,0.187
3.150,0.187
3.152,0.184
3.154,0.178
3.156,0.166
3.158,0.149
3.160,0.129
3.162,0.109
3.164,0.091
3.166,0.077
3.168,0.067
3.170,0.059
3.172,0.053
3.174,0.046
3.176,0.038
3.178,0.030
3.180,0.022
3.182,0.013
3.184,0.005
3.186,-0.003
3.188,-0.011
3.190,-0.018
3.192,-0.024
3.194,-0.027
3.196,-0.028
3.198,-0.027
3.200,-0.025
3.202,-0.025
3.204,-0.026
3.206,-0.030
3.208,-0.035
3.210,-0.041
3.212,-0.046
3.214,-0.048
3.216,-0.049
3.218,-0.048
3.220,-0.046
3.222,-0.046
3.224,-0.047
3.226,-0.049
